,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
88,88,ford v ferrari,2,6,0,68
89,89,trading paint,2,4,6,26
90,90,resident evil,2,1,17,12
91,91,red notice,2,5,18,85
92,92,zack snyder's justice league,2,15,1,34
93,93,mission: impossible,2,15,18,56
94,94,enola holmes,2,15,2,32
95,95,suicide squad,2,15,1,34
96,96,spider-man: homecoming,2,15,17,2
97,97,blade runner,2,4,17,64
98,98,the avengers,2,15,17,2
99,99,doragon boru supa supa hiro,0,2,10,29
100,100,aquaman and the lost kingdom,2,15,1,34
101,101,f9,2,8,18,22
102,102,the moderator,2,4,18,30
103,103,spider-man,2,15,17,2
104,104,captain marvel,2,15,17,2
105,105,the last duel,2,4,12,19
106,106,captain america: the first avenger,2,15,17,2
107,107,iron man,2,15,17,2
108,108,captain america: new world order,2,15,17,2
109,109,baywatch,2,5,2,17
110,110,star wars: episode ix - the rise of skywalker,2,15,1,34
111,111,batgirl,2,15,2,32
112,112,ghostbusters,2,5,1,57
113,113,guardians of the galaxy vol. 2,2,15,13,8
114,114,independence day,2,15,17,2
115,115,doctor strange,2,15,1,34
116,116,thor: the dark world,2,15,1,34
117,117,predator,2,15,5,38
118,118,mission: impossible - dead reckoning - part one,2,15,18,56
119,119,hit the first case,2,8,0,9
120,120,american made,2,5,2,17
121,121,el camino: a breaking bad movie,2,8,0,9
122,122,con air,2,8,18,22
123,123,dunkirk,2,4,12,19
124,124,aquaman,2,15,1,34
125,125,hellboy,2,15,1,34
126,126,baby driver,2,8,0,9
127,127,armageddon,2,15,17,2
128,128,the lord of the rings: the two towers,2,15,0,6
129,129,1917,2,4,9,25
130,130,the harder they fall,2,4,14,76
131,132,star wars: episode i - the phantom menace,2,15,1,34
132,133,sicario,2,8,0,9
133,134,oldeuboi,2,4,8,72
134,135,star trek,2,15,17,2
135,136,spider-man: into the spider-verse,0,2,10,29
136,137,the flash,2,15,1,34
137,138,the mortal instruments: city of bones,2,15,1,34
138,139,avengers: age of ultron,2,15,17,2
139,140,operation fortune: ruse de guerre,2,5,18,85
140,142,venom: let there be carnage,2,15,17,2
141,143,captain america: civil war,2,15,17,2
142,144,aliens,2,15,17,2
143,145,medieval,2,4,12,19
144,146,watchmen,2,4,8,72
145,147,ant-man,2,15,13,8
146,148,batman begins,2,8,0,9
147,149,the fifth element,2,15,17,2
148,150,the mummy,2,15,1,34
149,151,spree,2,5,2,17
150,152,pirates of the caribbean: dead men tell no tales,2,15,1,34
151,153,manyeo 2: lo go,2,7,18,74
152,154,the woman king,2,4,12,19
153,155,mission: impossible iii,2,15,18,56
154,156,mission: impossible - rogue nation,2,15,18,56
155,157,kingsman: the golden circle,2,15,13,8
156,158,starship troopers,2,15,17,2
157,159,spider-man: far from home,2,15,17,2
158,160,dune: part two,2,15,0,6
159,161,thunderbolts,2,15,17,2
160,162,mission: impossible ii,2,15,18,56
161,163,the incredible hulk,2,15,17,2
162,164,ghosted,2,15,16,2
163,165,fast x,2,8,8,54
164,166,ant-man and the wasp,2,15,13,8
165,167,apocalypto,2,15,0,6
166,168,the nice guys,2,5,2,17
167,169,the tomorrow war,2,15,0,6
168,170,transformers: rise of the beasts,2,15,17,2
169,171,robocop,2,8,17,22
170,172,divergent,2,15,8,15
171,173,transformers,2,15,17,2
172,174,the amazing spider-man,2,15,17,2
173,175,dungeons &amp; dragons,2,15,1,34
174,176,birds of prey and the fantabulous emancipation of one harley quinn,2,15,13,8
175,177,x-men,2,15,17,2
176,178,the living daylights,2,15,18,56
177,179,casino royale,2,15,18,56
178,180,captain america: the winter soldier,2,15,17,2
179,181,star wars: episode vi - return of the jedi,2,15,1,34
180,182,wanted,2,8,18,22
181,183,red dawn,2,4,18,30
182,184,the hunger games: the ballad of songbirds and snakes,2,15,0,6
183,185,the meg,2,1,17,12
184,186,kill bill: vol. 1,2,8,0,9
185,187,rogue one,2,15,17,2
186,188,godzilla vs. kong,2,13,18,87
187,189,major,2,6,0,68
188,190,hitman's wife's bodyguard,2,5,2,17
189,191,edge of tomorrow,2,15,17,2
190,192,pan,2,15,13,8
191,193,the fugitive,2,8,0,9
192,194,jack reacher,2,7,18,74
193,195,the empire strikes back,2,15,1,34
194,196,collateral,2,8,0,9
195,197,the revenant,2,15,0,6
196,198,man of steel,2,15,17,2
197,199,tron,2,15,17,2
198,200,the shallows,2,4,5,26
199,201,the predator,2,15,17,2
200,202,army of thieves,2,5,2,17
201,203,star wars: episode iii - revenge of the sith,2,15,1,34
202,204,justice league,2,15,1,34
203,205,dune,2,15,17,2
