49,The Grand Budapest Hotel,Adventure,Comedy,Crime
0,Guardians of the Galaxy Vol. 2,Action,Adventure,Comedy
1,Independence Day,Action,Adventure,Sci-Fi
2,Deliverance,Adventure,Drama,Thriller
3,Doctor Strange,Action,Adventure,Fantasy
4,Thor: The Dark World,Action,Adventure,Fantasy
5,Predator,Action,Adventure,Horror
6,Mission: Impossible - Dead Reckoning - Part One,Action,Adventure,Thriller
8,Pinocchio,Adventure,Comedy,Drama
9,Aquaman,Action,Adventure,Fantasy
10,Hellboy,Action,Adventure,Fantasy
11,Armageddon,Action,Adventure,Sci-Fi
12,The Lord of the Rings: The Two Towers,Action,Adventure,Drama
13,Green Lantern: Beware My Power,Animation,Adventure,Sci-Fi
14,Fantastic Four,Action,Adventure,Sci-Fi
15,Star Wars: Episode I - The Phantom Menace,Action,Adventure,Fantasy
16,Star Trek,Action,Adventure,Sci-Fi
17,Spider-Man: Into the Spider-Verse,Animation,Action,Adventure
18,The Flash,Action,Adventure,Fantasy
20,The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
21,Avengers: Age of Ultron,Action,Adventure,Sci-Fi
22,Moana,Animation,Adventure,Comedy
23,Barry Lyndon,Adventure,Drama,War
24,Venom: Let There Be Carnage,Action,Adventure,Sci-Fi
25,Captain America: Civil War,Action,Adventure,Sci-Fi
26,Aliens,Action,Adventure,Sci-Fi
27,Ant-Man,Action,Adventure,Comedy
28,Almost Famous,Adventure,Comedy,Drama
29,The Fifth Element,Action,Adventure,Sci-Fi
30,The Mummy,Action,Adventure,Fantasy
31,Cars,Animation,Adventure,Comedy
32,Pirates of the Caribbean: Dead Men Tell No Tales,Action,Adventure,Fantasy
33,Ratatouille,Animation,Adventure,Comedy
34,Despicable Me,Animation,Adventure,Comedy
37,Mission: Impossible III,Action,Adventure,Thriller
38,Mission: Impossible - Rogue Nation,Action,Adventure,Thriller
39,Kingsman: The Golden Circle,Action,Adventure,Comedy
40,Fantastic Beasts: The Crimes of Grindelwald,Adventure,Family,Fantasy
41,Starship Troopers,Action,Adventure,Sci-Fi
43,Mysterious Island,Adventure,Family,Fantasy
45,Spider-Man: Far from Home,Action,Adventure,Sci-Fi
46,Dune: Part Two,Action,Adventure,Drama
47,The Lion King,Animation,Adventure,Drama
48,Stardust,Adventure,Family,Fantasy
49,Thunderbolts,Action,Adventure,Sci-Fi
0,Mission: Impossible II,Action,Adventure,Thriller
1,Harry Potter and the Goblet of Fire,Adventure,Family,Fantasy
2,The Incredible Hulk,Action,Adventure,Sci-Fi
3,Ghosted,Action,Adventure,Romance
4,Idiocracy,Adventure,Comedy,Sci-Fi
5,Ant-Man and the Wasp,Action,Adventure,Comedy
6,Apocalypto,Action,Adventure,Drama
7,Sen to Chihiro no kamikakushi,Animation,Adventure,Family
8,The Tomorrow War,Action,Adventure,Drama
9,Transformers: Rise of the Beasts,Action,Adventure,Sci-Fi
10,Divergent,Action,Adventure,Mystery
11,Cruella,Adventure,Comedy,Crime
12,Transformers,Action,Adventure,Sci-Fi
13,Annihilation,Adventure,Drama,Horror
14,The Amazing Spider-Man,Action,Adventure,Sci-Fi
15,Dungeons &amp; Dragons,Action,Adventure,Fantasy
16,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Action,Adventure,Comedy
17,X-Men,Action,Adventure,Sci-Fi
18,The Living Daylights,Action,Adventure,Thriller
19,The Parent Trap,Adventure,Comedy,Drama
20,Beauty and the Beast,Adventure,Family,Fantasy
21,Casino Royale,Action,Adventure,Thriller
22,Captain America: The Winter Soldier,Action,Adventure,Sci-Fi
23,Star Wars: Episode VI - Return of the Jedi,Action,Adventure,Fantasy
24,Time Bandits,Adventure,Comedy,Fantasy
25,The Green Knight,Adventure,Drama,Fantasy
26,Ad Astra,Adventure,Drama,Mystery
27,The Hunger Games: The Ballad of Songbirds and Snakes,Action,Adventure,Drama
28,Harry Potter and the Chamber of Secrets,Adventure,Family,Fantasy
29,Rogue One,Action,Adventure,Sci-Fi
30,Edge of Tomorrow,Action,Adventure,Sci-Fi
31,Harry Potter and the Deathly Hallows: Part 2,Adventure,Fantasy,Mystery
32,Pan,Action,Adventure,Comedy
34,Harry Potter and the Deathly Hallows: Part 1,Adventure,Family,Fantasy
35,The Empire Strikes Back,Action,Adventure,Fantasy
36,The Railway Children Return,Adventure,Drama,Family
37,The Revenant,Action,Adventure,Drama
38,Man of Steel,Action,Adventure,Sci-Fi
39,TRON,Action,Adventure,Sci-Fi
40,The Predator,Action,Adventure,Sci-Fi
41,Star Wars: Episode III - Revenge of the Sith,Action,Adventure,Fantasy
42,Prometheus,Adventure,Mystery,Sci-Fi
43,Justice League,Action,Adventure,Fantasy
44,Dune,Action,Adventure,Sci-Fi
45,Eragon,Action,Adventure,Family
46,Harry Potter and the Prisoner of Azkaban,Adventure,Family,Fantasy
47,Ready Player One,Action,Adventure,Sci-Fi
48,Star Wars: Episode VII - The Force Awakens,Action,Adventure,Sci-Fi
49,Willow,Action,Adventure,Drama
0,Venom,Action,Adventure,Sci-Fi
1,Pirates of the Caribbean: Dead Man's Chest,Action,Adventure,Fantasy
2,San Andreas,Action,Adventure,Thriller
3,The NeverEnding Story,Adventure,Drama,Family
4,John Carter,Action,Adventure,Sci-Fi
5,The Mummy,Action,Adventure,Fantasy
6,Toy Story,Animation,Adventure,Comedy
7,X-Men: Apocalypse,Action,Adventure,Sci-Fi
8,Wonder Woman 1984,Action,Adventure,Fantasy
9,The Wizard of Oz,Adventure,Family,Fantasy
10,Transformers: The Last Knight,Action,Adventure,Sci-Fi
11,Iron Man Three,Action,Adventure,Sci-Fi
12,Goldfinger,Action,Adventure,Thriller
13,The Lost World: Jurassic Park,Action,Adventure,Sci-Fi
14,Aladdin,Adventure,Comedy,Family
15,Fantastic Beasts and Where to Find Them,Adventure,Family,Fantasy
16,Zootopia,Animation,Adventure,Comedy
17,Wonder Woman,Action,Adventure,Fantasy
18,Jungle Cruise,Action,Adventure,Comedy
19,Star Wars: Episode VIII - The Last Jedi,Action,Adventure,Fantasy
20,The Dirty Dozen,Action,Adventure,War
21,Tomb Raider,Action,Adventure,Fantasy
22,Fantastic Four,Action,Adventure,Fantasy
23,E.T. the Extra-Terrestrial,Adventure,Family,Sci-Fi
24,Jurassic Park III,Action,Adventure,Sci-Fi
25,Wonka,Adventure,Comedy,Family
26,Time After Time,Adventure,Drama,Sci-Fi
27,Sonic the Hedgehog,Action,Adventure,Comedy
28,Scooby-Doo,Adventure,Comedy,Family
29,Hercules,Animation,Adventure,Comedy
30,The Amazing Spider-Man 2,Action,Adventure,Sci-Fi
31,Speed,Action,Adventure,Thriller
32,Terminator Genisys,Action,Adventure,Sci-Fi
33,Jumanji: Welcome to the Jungle,Action,Adventure,Comedy
34,Avengers: The Kang Dynasty,Action,Adventure,Sci-Fi
35,Star Wars: Episode II - Attack of the Clones,Action,Adventure,Fantasy
36,Knights of the Zodiac,Action,Adventure,Drama
38,The Blues Brothers,Action,Adventure,Comedy
39,Into the Wild,Adventure,Biography,Drama
40,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,Family,Fantasy
41,777 Charlie,Adventure,Comedy,Drama
42,Kate,Action,Adventure,Crime
43,Spider-Man 3,Action,Adventure,Sci-Fi
44,Secret Headquarters,Action,Adventure,Comedy
45,Finding Nemo,Animation,Adventure,Comedy
46,Fast &amp; Furious Presents: Hobbs &amp; Shaw,Action,Adventure,Thriller
47,Charlie and the Chocolate Factory,Adventure,Comedy,Family
48,The Hunger Games: Catching Fire,Action,Adventure,Sci-Fi
49,Coco,Animation,Adventure,Comedy
0,Thor: Love and Thunder,Action,Adventure,Comedy
1,Everything Everywhere All at Once,Action,Adventure,Comedy
2,Shazam! Fury of the Gods,Action,Adventure,Comedy
3,Bullet Train,Action,Comedy,Thriller
4,DC League of Super-Pets,Animation,Action,Adventure
5,Barbie,Adventure,Comedy,Fantasy
6,The Sea Beast,Animation,Adventure,Comedy
7,Ant-Man and the Wasp: Quantumania,Action,Adventure,Comedy
8,Minions: The Rise of Gru,Animation,Adventure,Comedy
10,Sing 2,Animation,Adventure,Comedy
11,Guardians of the Galaxy Vol. 3,Action,Adventure,Comedy
12,The Lost City,Action,Adventure,Comedy
13,Vengeance,Comedy,Mystery,Thriller
15,Hustle,Comedy,Drama,Sport
16,The Man from Toronto,Action,Adventure,Comedy
17,Paws of Fury: The Legend of Hank,Animation,Action,Comedy
18,The Unbearable Weight of Massive Talent,Action,Comedy,Crime
20,The Bad Guys,Animation,Adventure,Comedy
21,Ghostbusters: Afterlife,Adventure,Comedy,Fantasy
22,Emma.,Comedy,Drama,Romance
23,The Wolf of Wall Street,Biography,Comedy,Crime
24,Thor: Ragnarok,Action,Adventure,Comedy
25,Jug Jugg Jeeyo,Comedy,Drama,Family
26,Bodies Bodies Bodies,Comedy,Horror,Thriller
27,Deadpool,Action,Adventure,Comedy
28,Knives Out,Comedy,Crime,Drama
30,Shazam!,Action,Adventure,Comedy
32,Don't Look Up,Comedy,Drama,Sci-Fi
33,Free Guy,Action,Adventure,Comedy
34,The Bob's Burgers Movie,Animation,Adventure,Comedy
35,The Goonies,Adventure,Comedy,Family
36,A League of Their Own,Comedy,Drama,Sport
37,Marcel the Shell with Shoes On,Animation,Comedy,Family
38,Deadpool 2,Action,Adventure,Comedy
39,Vicky Cristina Barcelona,Comedy,Drama,Romance
41,Licorice Pizza,Comedy,Drama,Romance
42,The Gentlemen,Action,Comedy,Crime
43,Sonic the Hedgehog 2,Action,Adventure,Comedy
44,Verdens verste menneske,Comedy,Drama,Romance
45,Gisaengchung,Comedy,Drama,Thriller
46,Guardians of the Galaxy,Action,Adventure,Comedy
47,The Adam Project,Action,Adventure,Comedy
48,CODA,Comedy,Drama,Music
49,The Big Short,Biography,Comedy,Drama
0,The Suicide Squad,Action,Adventure,Comedy
1,Encanto,Animation,Comedy,Family
3,Jaadugar,Comedy,Drama,Fantasy
4,Jerry &amp; Marge Go Large,Biography,Comedy,Drama
5,Kingsman: The Secret Service,Action,Adventure,Comedy
7,CHIPS,Action,Comedy,Crime
8,Day Shift,Action,Comedy,Fantasy
9,Fresh,Comedy,Horror,Thriller
10,The Little Rascals,Comedy,Family,Romance
11,The Munsters,Comedy,Family,Fantasy
13,Red Notice,Action,Comedy,Thriller
15,Father of the Bride,Comedy,Drama,Romance
19,Back to the Future,Adventure,Comedy,Sci-Fi
20,Chip 'n Dale: Rescue Rangers,Animation,Adventure,Comedy
21,The Girl Next Door,Comedy,Drama,Romance
22,Minions,Animation,Adventure,Comedy
23,The French Dispatch,Comedy,Drama,Romance
24,Baywatch,Action,Comedy,Crime
25,Turning Red,Animation,Adventure,Comedy
27,Luck,Animation,Adventure,Comedy
28,Ghostbusters,Action,Comedy,Fantasy
29,The Grand Budapest Hotel,Adventure,Comedy,Crime
31,Guardians of the Galaxy Vol. 2,Action,Adventure,Comedy
33,American Made,Action,Comedy,Crime
34,Jojo Rabbit,Comedy,Drama,War
36,Pinocchio,Adventure,Comedy,Drama
37,Weird: The Al Yankovic Story,Biography,Comedy,Music
40,Mr. Malcolm's List,Comedy,Drama,Romance
42,Mighty Aphrodite,Comedy,Fantasy,Romance
44,La La Land,Comedy,Drama,Music
46,Pitch Perfect,Comedy,Music,Romance
48,Marry Me,Comedy,Music,Romance
49,The Sandlot,Comedy,Drama,Family
0,Spider-Man: Into the Spider-Verse,Animation,Action,Adventure
1,Moana,Animation,Adventure,Comedy
2,Operation Fortune: Ruse de guerre,Action,Comedy,Thriller
5,Hustlers,Comedy,Crime,Drama
6,Ant-Man,Action,Adventure,Comedy
7,Grease,Comedy,Musical,Romance
8,Almost Famous,Adventure,Comedy,Drama
